time,usage
0,17.85
1,17.7
2,14.6625
3,14.55
4,17.25
5,19.5375
6,19.425
7,26.5625
8,26.125
9,26.1
10,26.425
11,26.0375
12,22.2875
13,19.5
14,19.4625
15,19.825
16,19.75
17,19.7125
18,22.4625
19,23.0625
20,23.1125
21,23.0625
22,23.5125
23,30.3875
24,29.9125
25,29.0625
26,30.475
27,29.625
28,29.4375
29,29.375
30,28.325
31,29.575
32,23.95
33,23.6
34,23.9375
35,23.7
36,23.9625
37,23.5875
38,24.2125
39,23.1625
40,26.3875
41,26.2125
42,26.65
43,26.3
44,27.1375
45,26.3
46,26.3875
