time,usage
0,26.984375
1,29.546875
2,32.21875
3,35.203125
4,37.8125
5,39.40625
6,40.90625
7,42.21875
8,43.265625
9,44.3125
10,45.390625
11,46.4375
12,47.46875
13,48.65625
14,49.875
15,51.0625
16,52.25
17,53.46875
18,54.15625
19,54.828125
20,55.5625
21,56.3125
22,57.078125
23,57.84375
24,58.5
25,59.171875
26,59.859375
27,60.53125
28,61.21875
29,61.875
30,62.515625
31,63.15625
32,63.921875
33,64.703125
34,65.515625
35,66.296875
36,67.09375
37,67.828125
38,68.671875
39,69.484375
40,70.046875
41,70.609375
42,71.140625
43,71.671875
44,72.234375
45,72.78125
46,73.34375
